count
16296340
11351669
10217320
7453245
4855169
4531426
4215514
3578393
3129646
1777996
1400226
1371847
1232572
1101129
1096382
1034931
735728
694424
491504
466926
450910
449952
446001
438957
352593
332392
305719
258776
232462
223453
179478
155874
138263
133147
128576
111683
110924
108878
108204
78554
42804
29869
26412
22825
20831
19431
17087
13398
11662
11532
10116
9593
9179
8507
7640
7507
7323
7133
6344
5133
4813
4426
4291
3511
3452
3444
2747
2640
2436
2425
2144
1973
1877
1850
1666
1622
1619
1587
1514
1491
1172
1111
1103
1035
906
785
763
747
662
649
505
500
409
388
356
325
309
274
255
246
231
226
223
206
206
189
180
167
157
135
132
127
116
115
98
80
80
73
57
56
52
44
36
31
31
28
27
19
13
11
9
8
7
7
7
6
6
5
4
2
2
2
2
1
1
1
