Original_Category,Encoded_Value
BC0FEN,290
BH0ABEL1,291
BH0ABEY5,292
BH0AUEL1,293
BH0AUEY5,294
BH0BEN,295
BH0FEN,296
BH0OAKMN,297
BH0OASM,298
BH0OASMN,299
BH0OAVMN,300
BH0QBEL1,301
BH3ABEL1,302
BH3AUEL1,303
BH3AUEY5,304
BH3QBEL1,305
BH7QBEL1,306
BHF0ODYN,307
BHW0ODYN,308
BHX0ODYN,309
BI0ABEL1,310
BI0AUEL1,311
BI0AUEY5,312
BI0FEN,313
BI0KUEL1,314
BI0QBEL1,315
BI3AUEL1,316
BI3AUEY5,317
BIP,318
BNR,319
BO00DY,320
BR0NA0MQ,321
BR0OA0MC,322
BR0OA0MQ,323
BR0TA0MC,324
BR3OA0MC,325
BR3OA0MQ,326
BR3TA0MC,327
BR3TA0MQ,328
BR7NA0MG,329
BR7NA0MQ,330
BR7OA0MG,331
BR7OA0MQ,332
BR7OH3MQ,333
BR7OJ0MG,334
BR7OX0MG,335
BR7OX2MG,336
BR7TA0MC,337
BR7TA0MG,338
BR7TC2MC,339
BR7TX0MQ,340
BREFY5,341
BRUOA0MC,342
BRUOA0MG,343
BRUOA0MQ,344
BRUOC2MG,345
BRUOH3MQ,346
BRUOJ0MG,347
BRUOX0MG,348
BRUOX0MQ,349
BRUTA0MC,350
BRUTA5MC,351
BRVNA0MQ,352
BRVOA0MG,353
BRVOA0MQ,354
BRVOX0MG,355
BRVTA0MC,356
BRVTA0MG,357
BRVTA5MC,358
BUAHINN1,359
BUAHINN3,360
BUAHKSN1,361
BUAHXSN1,362
BUAHZNN1,363
BUAHZNN3,364
BUAHZSN1,365
BUAIISN1,366
BUAIISN3,367
BUAIKSN1,368
BUAIXSN1,369
BUAIXSN3,370
BUAIZNN1,371
BUAIZNN3,372
BUAIZSN1,373
BUAJUNN1,374
BUAJZNN1,375
BUAJZNN3,376
BUAJZRN1,377
BUAKUNN1,378
BUAKZNN1,379
BUAKZRN1,380
BUAPZNN1,381
BUAUZNN1,382
BUAUZNN3,383
BUAWZNN1,384
BUAZINN1,385
BUAZZNN1,386
BUAZZNN3,387
BUBHZNN1,388
BUBIKSN1,389
BUBIXSN1,390
BUBWUNN1,391
BVAHZNN1,392
BVAHZNN3,393
BVAHZSN1,394
BVAIKSN1,395
BVAIXSN1,396
BVAIZNN1,397
BVAIZNN3,398
BVAIZSN1,399
BVAJZNN1,400
BVAKZNN1,401
BVAKZSN1,402
BVAPZNN1,403
BVAUZNN1,404
BVAWZNN1,405
BVAZZNN1,406
BVBHZNN1,407
BVBIZSN1,408
BVBWKNN1,409
BVBWUNN1,410
BVBWXNN1,411
BVBWZNN1,412
BVFWZNN1,413
C0ATZNJC,414
C7ATZNJC,415
CA0KA0DQ,416
CAA00UPN,417
CAA07UPN,418
CAA0ADFY,419
CAA0AFFY,420
CAA14UPN,421
CC0GAE,422
CC0GLE,423
CC0GNE,424
CC0GPE,425
CC2GAE,426
CC2GNE,427
CC2GPE,428
CC3GAE,429
CC3GLE,430
CC3GNE,431
CC3GPE,432
CC4GNE,433
CC4GPE,434
CC7GAE,435
CC7GLE,436
CC7GNE,437
CC7GPE,438
CH0ANE,439
CH0ANEE,440
CH0LNE,441
CH0NNE,442
CH0PNE,443
CH2ANE,444
CH2LNE,445
CH2NNE,446
CH3ANE,447
CH3LNE,448
CH3NNE,449
CH3PNE,450
CH4LNE,451
CH4NNE,452
CH4PNE,453
CH7ANE,454
CH7LNE,455
CH7PNE,456
CUATZNJC,457
CVATZNJC,458
D00DXS2,459
D00EXS2,460
D00GSS4,461
D00GXS2,462
D00ISS4,463
D00IXS2,464
D00NXS2,465
D00OSS4,466
D00OXS5,467
D00PSS4,468
D00PSS5,469
D00PXP4,470
D00PXP5,471
D00PXP6,472
D00PXS2,473
D00PXS4,474
D00PXS5,475
D00PXS6,476
D00QXS2,477
D00RXS2,478
D00SXS2,479
D00SXS4,480
D00XXS2,481
D00YXS2,482
D00YXS4,483
D00ZXS2,484
D00ZXS4,485
D01PXP5,486
D03DXS2,487
D03EXS2,488
D03GSS4,489
D03GXS2,490
D03IXS2,491
D03JXS2,492
D03KSS4,493
D03NXS2,494
D03OSS4,495
D03OXP5,496
D03OXS2,497
D03OXS4,498
D03OXS5,499
D03PSS4,500
D03PSS5,501
D03PXP4,502
D03PXP5,503
D03PXP6,504
D03PXS2,505
D03PXS4,506
D03PXS5,507
D03PXS6,508
D03QXS2,509
D03RXS2,510
D03SXS2,511
D03VSS4,512
D03VSS5,513
D03VXP5,514
D03VXS5,515
D03XXS2,516
D03YXS2,517
D03ZXP6,518
D03ZXS2,519
D07DSS5,520
D07DXS2,521
D07EXS2,522
D07GSS4,523
D07GXP4,524
D07GXP5,525
D07GXS2,526
D07GXS5,527
D07IXS2,528
D07JSS5,529
D07NXS2,530
D07OSS5,531
D07OXS2,532
D07OXS5,533
D07PSS4,534
D07PSS5,535
D07PXP5,536
D07PXP6,537
D07PXS2,538
D07PXS4,539
D07PXS5,540
D07PXS6,541
D07QXS2,542
D07RXS2,543
D07SXS2,544
D07USS5,545
D07VSS4,546
D07VXS5,547
D07XXS2,548
D07YXS2,549
D07ZXP6,550
D07ZXS2,551
D0ATZNJC,552
D14DXS2,553
D14DXS5,554
D14EXS2,555
D14EXS6,556
D14GSS4,557
D14GXP5,558
